bar_idx,datetime,open,high,low,close,bar_volume,bar_ticks,bid_vol,ask_vol,volume,delta,delta_finish,max_delta,min_delta,cum_delta,trades,buy_trades,sell_trades,max_one_trade,avg_size,avg_buy_size,avg_sell_size,levels,poc_price,poc_volume,open_interest
10853,2026-08-06 02:19:00,4355.3,4355.3,4351.8,4353.5,132,129,79,52,132,-27,-27,-27,-27,-841,129,0,0,0,1.0233,0,0,30,4353.0,11,301568
10854,2026-08-06 02:20:00,4353.4,4353.5,4352.1,4352.5,33,33,15,18,33,3,3,3,3,-838,33,0,0,0,1,0,0,12,4352.5,6,301568
10855,2026-08-06 02:21:00,4352.6,4353.3,4351.6,4353.2,68,64,20,33,68,13,13,13,13,-825,64,0,0,0,1.0625,0,0,17,4352.7,9,301568
10856,2026-08-06 02:22:00,4352.9,4354.1,4352.4,4353.0,59,55,29,30,59,1,1,1,1,-824,55,0,0,0,1.0727,0,0,17,4353.3,11,301568
10857,2026-08-06 02:23:00,4353.0,4353.4,4351.7,4353.2,38,33,13,23,38,10,10,10,10,-814,33,0,0,0,1.1515,0,0,16,4351.8,7,301568
10858,2026-08-06 02:24:00,4353.3,4354.0,4352.6,4352.6,15,15,7,8,15,1,1,1,1,-813,15,0,0,0,1,0,0,9,4353.2,3,301568
10859,2026-08-06 02:25:00,4352.7,4352.7,4350.9,4351.9,43,41,28,15,43,-13,-13,-13,-13,-826,41,0,0,0,1.0488,0,0,14,4351.8,9,301568
10860,2026-08-06 02:26:00,4351.1,4352.3,4351.1,4351.6,66,58,26,35,66,9,9,9,9,-817,58,0,0,0,1.1379,0,0,13,4352.1,16,301568
10861,2026-08-06 02:27:00,4351.7,4352.7,4351.7,4352.0,22,21,12,10,22,-2,-2,-2,-2,-819,21,0,0,0,1.0476,0,0,8,4352.2,5,301568
10862,2026-08-06 02:28:00,4352.3,4354.2,4351.5,4351.5,58,53,29,28,58,-1,-1,-1,-1,-820,53,0,0,0,1.0943,0,0,25,4354.2,6,301568
10863,2026-08-06 02:29:00,4351.8,4353.0,4350.8,4351.1,69,64,29,40,69,11,11,11,11,-809,64,0,0,0,1.0781,0,0,21,4351.6,7,301568
10864,2026-08-06 02:30:00,4350.9,4351.5,4341.9,4343.6,506,459,316,180,506,-136,-136,-136,-136,-945,459,0,0,0,1.1024,0,0,93,4343.0,19,301568
10865,2026-08-06 02:31:00,4343.7,4344.6,4342.2,4343.7,97,93,48,40,97,-8,-8,-8,-8,-953,93,0,0,0,1.043,0,0,20,4343.4,15,301568
10866,2026-08-06 02:32:00,4343.7,4343.9,4341.5,4342.3,125,119,58,50,125,-8,-8,-8,-8,-961,119,0,0,0,1.0504,0,0,24,4342.8,13,301568
10867,2026-08-06 02:33:00,4343.5,4343.9,4341.5,4342.1,38,36,17,18,38,1,1,1,1,-960,36,0,0,0,1.0556,0,0,18,4342.1,9,301568
10868,2026-08-06 02:34:00,4342.3,4345.2,4341.7,4345.2,87,84,19,66,87,47,47,47,47,-913,84,0,0,0,1.0357,0,0,30,4342.4,6,301568
10869,2026-08-06 02:35:00,4345.3,4345.8,4344.5,4345.3,50,44,16,31,50,15,15,15,15,-898,44,0,0,0,1.1364,0,0,13,4344.7,12,301568
10870,2026-08-06 02:36:00,4345.5,4346.3,4343.6,4343.8,48,45,18,28,48,10,10,10,10,-888,45,0,0,0,1.0667,0,0,22,4344.2,7,301568
10871,2026-08-06 02:37:00,4343.5,4344.6,4343.4,4343.7,37,33,12,25,37,13,13,13,13,-875,33,0,0,0,1.1212,0,0,12,4344.0,6,301568
10872,2026-08-06 02:38:00,4344.1,4346.4,4343.9,4346.1,45,43,20,25,45,5,5,5,5,-870,43,0,0,0,1.0465,0,0,18,4345.8,6,301568
10873,2026-08-06 02:39:00,4346.0,4347.4,4344.5,4344.5,55,51,21,34,55,13,13,13,13,-857,51,0,0,0,1.0784,0,0,20,4346.8,7,301568
10874,2026-08-06 02:40:00,4344.7,4344.7,4340.7,4340.7,130,117,87,39,130,-48,-48,-48,-48,-905,117,0,0,0,1.1111,0,0,37,4343.9,15,301568
10875,2026-08-06 02:41:00,4341.1,4342.9,4339.8,4342.9,109,102,57,49,109,-8,-8,-8,-8,-913,102,0,0,0,1.0686,0,0,23,4340.9,12,301568
10876,2026-08-06 02:42:00,4342.4,4342.9,4340.6,4340.8,50,46,25,24,50,-1,-1,-1,-1,-914,46,0,0,0,1.087,0,0,17,4341.8,7,301568
10877,2026-08-06 02:43:00,4340.6,4342.7,4340.0,4342.3,57,55,26,31,57,5,5,5,5,-909,55,0,0,0,1.0364,0,0,20,4340.5,7,301568
10878,2026-08-06 02:44:00,4342.6,4344.9,4342.2,4344.7,60,58,19,41,60,22,22,22,22,-887,58,0,0,0,1.0345,0,0,24,4342.5,7,301568
10879,2026-08-06 02:45:00,4344.4,4346.1,4341.0,4341.1,122,110,47,74,122,27,27,27,27,-860,110,0,0,0,1.1091,0,0,34,4345.4,11,301568
10880,2026-08-06 02:46:00,4341.1,4341.8,4340.1,4340.3,72,66,36,36,72,0,0,0,0,-860,66,0,0,0,1.0909,0,0,18,4340.9,9,301568
10881,2026-08-06 02:47:00,4340.4,4341.8,4340.4,4340.6,32,31,12,19,32,7,7,7,7,-853,31,0,0,0,1.0323,0,0,13,4340.6,4,301568
10882,2026-08-06 02:48:00,4340.8,4341.3,4336.8,4337.2,168,134,95,73,168,-22,-22,-22,-22,-875,134,0,0,0,1.2537,0,0,39,4340.5,24,301568
10883,2026-08-06 02:49:00,4337.2,4337.2,4334.0,4335.7,211,196,106,101,211,-5,-5,-5,-5,-880,196,0,0,0,1.0765,0,0,32,4335.5,23,301568
10884,2026-08-06 02:50:00,4336.3,4338.1,4335.2,4338.1,62,60,20,42,62,22,22,22,22,-858,60,0,0,0,1.0333,0,0,23,4335.9,8,301568
10885,2026-08-06 02:51:00,4338.0,4339.0,4337.1,4339.0,70,67,30,39,70,9,9,9,9,-849,67,0,0,0,1.0448,0,0,16,4337.7,15,301568
10886,2026-08-06 02:52:00,4338.9,4339.7,4337.3,4337.8,66,64,22,38,66,16,16,16,16,-833,64,0,0,0,1.0313,0,0,22,4339.3,7,301568
10887,2026-08-06 02:53:00,4337.3,4338.0,4335.7,4335.7,47,43,8,39,47,31,31,31,31,-802,43,0,0,0,1.093,0,0,19,4336.7,6,301568
10888,2026-08-06 02:54:00,4336.0,4338.8,4336.0,4337.4,56,56,13,41,56,28,28,28,28,-774,56,0,0,0,1,0,0,16,4336.5,7,301568
10889,2026-08-06 02:55:00,4336.8,4338.9,4336.0,4338.7,61,56,19,41,61,22,22,22,22,-752,56,0,0,0,1.0893,0,0,24,4336.5,6,301568
10890,2026-08-06 02:56:00,4338.4,4339.0,4336.0,4336.7,66,56,34,30,66,-4,-4,-4,-4,-756,56,0,0,0,1.1786,0,0,21,4336.5,10,301568
10891,2026-08-06 02:57:00,4336.4,4337.9,4335.9,4337.8,41,40,13,20,41,7,7,7,7,-749,40,0,0,0,1.025,0,0,18,4337.2,5,301568
10892,2026-08-06 02:58:00,4337.6,4338.5,4336.9,4337.7,49,48,22,25,49,3,3,3,3,-746,48,0,0,0,1.0208,0,0,17,4338.0,7,301568
10893,2026-08-06 02:59:00,4337.7,4337.9,4336.6,4337.8,11,11,4,7,11,3,3,3,3,-743,11,0,0,0,1,0,0,7,4337.7,3,301568
10894,2026-08-06 03:00:00,4337.2,4337.2,4334.5,4334.7,101,89,55,41,101,-14,-14,-14,-14,-757,89,0,0,0,1.1348,0,0,21,4334.8,19,301568
10895,2026-08-06 03:01:00,4335.1,4337.2,4334.5,4335.6,82,74,46,33,82,-13,-13,-13,-13,-770,74,0,0,0,1.1081,0,0,24,4336.0,18,301568
10896,2026-08-06 03:02:00,4335.5,4335.9,4334.2,4335.4,66,63,34,30,66,-4,-4,-4,-4,-774,63,0,0,0,1.0476,0,0,17,4334.7,13,301568
10897,2026-08-06 03:03:00,4335.5,4336.1,4334.4,4334.4,47,44,17,25,47,8,8,8,8,-766,44,0,0,0,1.0682,0,0,11,4334.8,12,301568
10898,2026-08-06 03:04:00,4334.7,4335.1,4334.7,4334.8,12,12,3,9,12,6,6,6,6,-760,12,0,0,0,1,0,0,5,4334.8,4,301568
10899,2026-08-06 03:05:00,4334.9,4339.0,4334.9,4338.6,82,75,23,58,82,35,35,35,35,-725,75,0,0,0,1.0933,0,0,28,4338.6,13,301568
10900,2026-08-06 03:06:00,4338.5,4339.4,4337.5,4338.0,71,70,39,29,71,-10,-10,-10,-10,-735,70,0,0,0,1.0143,0,0,18,4338.5,9,301568
10901,2026-08-06 03:07:00,4337.7,4338.4,4337.3,4337.6,43,41,17,26,43,9,9,9,9,-726,41,0,0,0,1.0488,0,0,11,4338.1,11,301568
10902,2026-08-06 03:08:00,4337.8,4338.5,4337.4,4337.8,41,32,15,26,41,11,11,11,11,-715,32,0,0,0,1.2813,0,0,11,4338.5,14,301568
10903,2026-08-06 03:09:00,4337.4,4340.0,4337.1,4338.1,97,87,36,57,97,21,21,21,21,-694,87,0,0,0,1.1149,0,0,30,4337.1,10,301568
10904,2026-08-06 03:10:00,4337.9,4339.3,4337.8,4338.9,23,23,6,17,23,11,11,11,11,-683,23,0,0,0,1,0,0,13,4338.1,4,301568
10905,2026-08-06 03:11:00,4338.8,4339.5,4336.1,4338.3,67,60,48,11,67,-37,-37,-37,-37,-720,60,0,0,0,1.1167,0,0,26,4336.5,6,301568
10906,2026-08-06 03:12:00,4338.3,4338.4,4336.2,4336.8,33,33,20,13,33,-7,-7,-7,-7,-727,33,0,0,0,1,0,0,16,4336.8,6,301568
10907,2026-08-06 03:13:00,4336.7,4337.1,4333.3,4334.2,151,143,83,63,151,-20,-20,-20,-20,-747,143,0,0,0,1.0559,0,0,34,4333.7,14,301568
10908,2026-08-06 03:14:00,4334.6,4335.5,4332.9,4332.9,53,51,31,20,53,-11,-11,-11,-11,-758,51,0,0,0,1.0392,0,0,21,4333.0,5,301568
10909,2026-08-06 03:15:00,4332.8,4333.2,4329.3,4329.7,288,238,180,103,288,-77,-77,-77,-77,-835,238,0,0,0,1.2101,0,0,40,4331.7,31,301568
10910,2026-08-06 03:16:00,4330.0,4330.0,4327.4,4327.8,176,155,96,75,176,-21,-21,-21,-21,-856,155,0,0,0,1.1355,0,0,24,4328.8,22,301568
10911,2026-08-06 03:17:00,4327.9,4328.2,4323.6,4325.1,288,239,153,128,288,-25,-25,-25,-25,-881,239,0,0,0,1.205,0,0,44,4325.0,34,301568
10912,2026-08-06 03:18:00,4325.1,4326.3,4323.7,4326.3,161,114,46,105,161,59,59,59,59,-822,114,0,0,0,1.4123,0,0,27,4326.0,37,301568
10913,2026-08-06 03:19:00,4326.0,4326.5,4324.8,4326.3,74,60,39,35,74,-4,-4,-4,-4,-826,60,0,0,0,1.2333,0,0,14,4325.2,18,301568
10914,2026-08-06 03:20:00,4326.6,4326.7,4323.8,4325.5,90,88,44,46,90,2,2,2,2,-824,88,0,0,0,1.0227,0,0,26,4324.9,11,301568
10915,2026-08-06 03:21:00,4326.0,4326.4,4324.0,4326.3,80,79,41,39,80,-2,-2,-2,-2,-826,79,0,0,0,1.0127,0,0,22,4326.0,8,301568
10916,2026-08-06 03:22:00,4325.5,4326.2,4324.5,4325.4,46,46,22,19,46,-3,-3,-3,-3,-829,46,0,0,0,1,0,0,16,4325.4,7,301568
10917,2026-08-06 03:23:00,4325.0,4325.0,4323.8,4324.3,38,35,17,20,38,3,3,3,3,-826,35,0,0,0,1.0857,0,0,12,4324.1,10,301568
10918,2026-08-06 03:24:00,4324.4,4325.1,4322.8,4323.6,75,71,48,24,75,-24,-24,-24,-24,-850,71,0,0,0,1.0563,0,0,20,4323.4,12,301568
10919,2026-08-06 03:25:00,4323.2,4324.5,4320.7,4321.8,335,285,186,135,335,-51,-51,-51,-51,-901,285,0,0,0,1.1754,0,0,39,4321.2,26,301568
10920,2026-08-06 03:26:00,4321.5,4322.2,4320.4,4321.8,127,117,56,53,127,-3,-3,-3,-3,-904,117,0,0,0,1.0855,0,0,19,4321.6,18,301568
10921,2026-08-06 03:27:00,4321.9,4321.9,4320.2,4320.8,76,74,43,29,76,-14,-14,-14,-14,-918,74,0,0,0,1.027,0,0,15,4320.6,18,301568
10922,2026-08-06 03:28:00,4321.1,4323.5,4320.9,4323.1,112,107,52,58,112,6,6,6,6,-912,107,0,0,0,1.0467,0,0,26,4321.9,11,301568
10923,2026-08-06 03:29:00,4322.6,4325.5,4322.6,4325.5,155,133,46,107,155,61,61,61,61,-851,133,0,0,0,1.1654,0,0,26,4325.0,19,301568
10924,2026-08-06 03:30:00,4325.2,4325.9,4323.9,4325.9,53,48,19,33,53,14,14,14,14,-837,48,0,0,0,1.1042,0,0,18,4325.2,9,301568
